Unit,Plot,Species,Number,Ht_cm,rcd_mm,Herbivory,Condition,health
14,7,QURU,7,122.50,12.10,1,,L
14,7,QURU,8,116.50,13.20,1,,L
14,7,QURU,9,35.00,14.00,2,T,2
14,7,QURU,10,143.00,8.40,1,,L
14,7,QURU,11,47.00,6.40,3,T,V
14,7,QURU,12,109.50,10.50,1,,L
14,7,QURU,13,88.50,14.20,1,,L
14,7,QURU,14,151.00,14.40,1,,L
14,7,QURU,15,78.00,13.90,2,,L
14,7,QURU,16,114.00,12.10,1,,L
14,7,QURU,17,98.00,14.70,1,,L
14,7,QURU,18,126.00,20.80,2,T,L
14,7,QURU,19,130.00,13.30,1,,L
14,7,QURU,20,27.50,6.10,1,,V
14,7,TIAM,1,,,,,V
14,7,TIAM,2,21.00,4.40,1,,V
14,7,TIAM,3,49.50,9.40,1,,L
14,7,TIAM,4,24.50,5.40,1,,L
14,7,TIAM,5,29.00,5.60,2,,L
14,7,TIAM,6,28.00,6.30,2,,L
14,7,TIAM,7,,,,,L
14,7,TIAM,8,,,,,L
14,7,TIAM,9,38.00,4.70,2,,L
14,7,TIAM,10,40.50,7.50,1,,L
14,7,TIAM,11,24.00,2.40,1,,L
14,7,TIAM,12,,,,,V
14,7,TIAM,13,21.00,3.60,1,,V
14,7,TIAM,14,,,,,D
14,7,TIAM,15,58.50,11.10,1,,L
14,7,TIAM,16,77.00,10.50,2,,L
14,7,TIAM,17,53.50,8.80,2,,L
14,7,TIAM,18,15.50,5.90,1,,V
14,7,TIAM,19,27.50,7.40,1,,V
14,7,TIAM,20,42.00,7.70,1,,L
