Year,Planting.date,Unit ,Plot,Species,Number,Soil,Slash,VSMxtree,HT.cm.initial,RCD.mm.initial
2020,5/17/21,10,5,PRSE,20,U,0,14,23,3.5
2020,5/17/21,10,5,BELE,1,U,0,35.8,34.9,3.4
2020,5/17/21,10,5,BELE,2,U,0,42.5,28.5,2.9
2020,5/17/21,10,5,BELE,3,U,0,36.1,35.5,2.8
2020,5/17/21,10,5,BELE,4,U,0,25.8,32,3
2020,5/17/21,10,5,BELE,5,U,0,30.6,28.5,3.3
2020,5/17/21,10,5,BELE,6,U,0,26.8,40,6
2020,5/17/21,10,5,BELE,7,U,0,27.9,47,4.5
2020,5/17/21,10,5,BELE,8,U,0,28,45.8,4.1
2020,5/17/21,10,5,BELE,9,S,0,32.1,39,4.8
2020,5/17/21,10,5,BELE,10,U,1,30.7,45.8,6.6
2020,5/17/21,10,5,BELE,11,S,0,38.9,36.5,3.3
2020,5/17/21,10,5,BELE,12,U,1,22.6,36.6,11.6
2020,5/17/21,10,5,BELE,13,U,0,27.7,33.3,2.6
2020,5/17/21,10,5,BELE,14,U,0,25.1,43,6.6
2020,5/17/21,10,5,BELE,15,U,1,22.2,31,2.7
2020,5/17/21,10,5,BELE,16,U,0,28.5,38.1,5.2
2020,5/17/21,10,5,BELE,17,U,1,29.4,32.6,6.2
2020,5/17/21,10,5,BELE,18,U,1,21,30.2,3.3
2020,5/17/21,10,5,BELE,19,S,0,19.9,34.1,3.6
2020,5/17/21,10,5,BELE,20,U,1,25.9,33,4.6
2020,5/17/21,10,5,BELE,21,U,0,,39,2.7
2020,5/17/21,10,5,CACO,1,U,1,25.3,23.8,4
2020,5/17/21,10,5,CACO,2,U,0,35.6,17.1,2.5
2020,5/17/21,10,5,CACO,3,S,0,24.2,13.1,2.7
2020,5/17/21,10,5,CACO,4,U,0,23.5,16.2,3.1
2020,5/17/21,10,5,CACO,5,U,0,34.1,17.2,2.9
2020,5/17/21,10,5,CACO,6,U,0,36.9,20.8,2.6
2020,5/17/21,10,5,CACO,7,U,0,31.7,22.2,2.6
2020,5/17/21,10,5,CACO,8,U,1,21,20.5,3.8
2020,5/17/21,10,5,CACO,9,U,1,32.8,18.6,2.9
2020,5/17/21,10,5,CACO,10,U,1,32.4,26.9,2.6
2020,5/17/21,10,5,CACO,11,S,0,32.4,28.8,3.5
2020,5/17/21,10,5,CACO,12,U,0,23.2,22.8,3.1
2020,5/17/21,10,5,CACO,13,U,0,29.2,14.2,1.5
2020,5/17/21,10,5,CACO,14,S,0,30.6,19,3.1
2020,5/17/21,10,5,CACO,15,U,1,19.9,25.7,2.5
2020,5/17/21,10,5,CACO,16,U,0,30,15.2,2.3
2020,5/17/21,10,5,CACO,17,U,1,39,17.4,2.7
2020,5/17/21,10,5,CACO,18,U,2,26.8,13.6,3
2020,5/17/21,10,5,CACO,19,S,0,39.5,23.3,3.2
2020,5/17/21,10,5,CACO,20,U,0,24.8,17.1,3.1
2020,5/17/21,10,5,QURU,1,S,1,35,39.5,4.5
2020,5/17/21,10,5,QURU,2,S,0,49.2,42.3,5.5
2020,5/17/21,10,5,QURU,3,S,0,31.1,36.8,5.4
