Unit,Plot,Direction,ID,number,horizon,MT,Treatment,Root.wt.g,Bulk density,pH,per.C,per.N,GWC,Biomass
8,1,N,63,22,OA,AM,Cut,1.4556,0.413388313,6.71,5.381940528,0.377439371,0.24535146,317.575153
8,1,W,64,23,OA,AM,Cut,1.7172,0.533743289,6.21,9.650323819,0.814791076,0.23939192,218.7738092
10,5,N,65,24,OA,AM,Cut,0.4875,0.410077491,5.76,7.884938593,0.515933965,0.31382685,289.8303079
10,5,SE,66,25,OA,AM,Cut,0.5643,0.451616782,5.55,6.471234193,0.47255255,0.26247266,241.6128874
10,5,SW,67,26,OA,AM,Cut,0.8741,0.380803685,6.69,12.42427546,0.958860082,0.31030471,273.7707971
12,11,E,68,27,OA,AM,Control,0.2973,0.290724058,5.58,10.40060949,0.808112685,0.34102245,338.6398075
12,11,N,69,28,OA,AM,Control,0.5273,0.27867346,5.65,11.66583896,0.857722911,0.37993158,462.3031314
12,11,W,70,29,OA,AM,Control,0.9137,0.412319547,5.28,10.1390332,0.737395463,0.32988547,283.4913844
13,5,E,71,30,OA,AM,Control,1.0535,0.464670871,4.55,8.785346125,0.645102285,0.25741889,302.9403485
13,5,NW,72,31,OA,AM,Control,0.3861,0.420141394,5.2,10.12575913,0.722327098,0.31528931,258.5193119
13,5,W,73,32,OA,AM,Control,0.3039,0.439580568,5.32,4.454246505,0.29537674,0.21003392,177.4323092
14,1,N,74,33,OA,EcM,Control,1.186,0.262822085,5.34,14.97347664,0.61908677,0.3643366,246.4300113
14,2,N,75,34,OA,EcM,Control,0.9173,0.138340234,4.19,19.0275071,0.976320239,0.63196496,123.6240103
14,2,S,76,35,OA,EcM,Control,0.4115,0.218521043,6.54,7.788429386,0.317175959,0.30266805,-97.38571137
14,2,W,77,36,OA,EcM,Control,1.1174,0.205834842,4.97,21.3776398,0.895330491,0.55849062,369.7258247
14,5,E,78,37,OA,EcM,Cut,0,0.366031535,5.41,18.10994914,0.646495942,0.48227506,239.3741818
14,5,N,79,38,OA,EcM,Cut,0,0.298535432,6.13,17.79600812,0.603289082,0.41534749,164.8595047
14,5,W,80,39,OA,EcM,Cut,0.0222,0.197301549,5.48,27.29105701,0.946919841,0.52474254,0.034244518
14,6,E,81,40,OA,EcM,Cut,0.7431,0.210109286,4.77,13.62053713,0.552022572,0.31212917,244.5564481
14,6,S,82,41,OA,EcM,Cut,0.8774,0.307159829,4.42,7.741610555,0.428012664,0.36218244,132.9998678
14,6,W,83,42,OA,EcM,Cut,0,0.679931106,6.72,18.78106089,0.628810299,0.42782233,99.46628131
14,7,E,84,43,OA,EcM,Cut,0.3591,0.205763975,5.32,15.45593719,0.736451033,0.35404014,80.95167814
14,7,N,85,44,OA,EcM,Cut,1.4044,0.227719149,4.54,12.50059661,0.541643379,0.41535352,NA
14,7,S,86,45,OA,EcM,Cut,0.5382,0.163418584,4.13,22.13371308,1.076369885,0.17732394,932.0217237
14,1,E,87,47,OA,EcM,Control,0.542,0.283381217,4.2,15.98712298,0.596297634,0.508265,320.0723081
14,1,S,88,48,OA,EcM,Control,0.2003,0.379682902,4.44,15.40050983,0.572524535,0.37751477,333.1147766
1,1,N,89,49,OA,EcM,Control,3.4179,0.129328898,4.53,32.98773385,1.309637378,0.39742326,338.741049
1,1,W,91,51,OA,EcM,Control,0,0.140933925,3.97,14.23020175,0.625443807,0.33999752,563.0383099
